Name,,V,T,M,n,np,B,G,E,v,H,B',G',ρ,vL,vS,va,Θe,γel,γes,γe,A,κ,κref.,Formula,space group,k_BTE_DFT,k_BTE_DFT（1000 K）,k_AFLOW_AAPL,k_AFLOW_AGL,k_AFLOW_AGL (Poisson ratio σ=0.25),k_Mingo,k_EXP,k_EXP（1000 K）
561947_CsHgF3, Pm-3m ,4.67110688501284,300,390.484,5,5,56.4703,18.7382,50.616059174,0.3506115629,3.0551876969,-1.33785,-0.41747,6.3619811297,3.5781746164,1.7161994036,1.9297050696,122.993189911,1.0185649893,0.9686756394,0.9855860568,1.16E-06,2.7100274847,1,CsHgF3,Pm-3m,1,0.37,,,,,,
8397_CsSrF3, Pm-3m ,4.82758995425466,300,277.514,5,5,42.7814,21.7905,55.8835024168,0.2822905031,5.5096065039,-1.56315,-0.38071,4.095833754,4.1879172988,2.3065476845,2.5706641978,158.5349086715,1.4549682281,0.8161855419,1.0722639946,1.42E-06,4.4090003643,1.13,CsSrF3,Pm-3m,1.13,0.5,,,,,,
6951_RbCdF3, Pm-3m ,4.50287881635823,300,254.873,5,5,61.3,26.3467,69.1353271657,0.3120301056,5.0474934922,-3.07005,-0.59207,4.63555354,4.5609244737,2.3840332732,2.6670085341,176.3372561502,1.6604313188,0.8591921885,1.1879189925,1.82E-06,5.4148976026,1.46,RbCdF3,Pm-3m,1.46,0.68,,,,,,
8399_CsCdF3, Pm-3m ,4.55761314503164,300,302.305,5,5,58.6108,26.5881,69.2871932602,0.3029737601,5.4053318739,-2.5468,-0.73035,5.3025100622,4.2117775979,2.2392516407,2.5021387339,163.4495990286,1.6050191329,1.1335810851,1.3097198899,2.3E-06,5.3831269559,1.73,CsCdF3,Pm-3m,1.73,0.59,,,,,,
2804770_SrKBi,,8.0448007268603,300,1342.79,12,3,16.8902,2.34651,6.7279640255,0.4336107721,0.3271814082,-0.1132,-0.03327,4.2782256307,2.1631570211,0.7405925894,0.8421713601,49.4745409871,1.8822395159,3.5243522295,3.0759791325,1.79E-05,0.4322992921,1.96,42 BiKSr,F-43m,1.96,,,1.45,,2.05,,
962062_SnBaSr, F-43m ,5.01674386600013,300,343.657,3,3,20.305,8.27733,21.8613923082,0.3205582179,2.4100825412,-0.57219,-0.31464,4.519682815,2.6333312586,1.3532908833,1.5155950957,89.9437924545,1.8309011637,2.2330471541,2.1075418743,7.21E-06,2.2627989838,2.01,SnBaSr,F-43m,2.01,,,3.19,,1.57,,
10250_BaLiF3, Pm-3m ,4.04715036040692,300,201.331,5,5,76.0653,44.424,111.555040497,0.2555717686,9.8086827562,-3.83228,-2.26812,5.0432579266,5.1795135678,2.9679271752,3.297121536,242.5467998744,1.5130172871,1.5255906132,1.52141105,3.3E-06,11.045198831,2.21,BaLiF3,Pm-3m,2.21,0.73,,,,,,
3654_RbCaF3, Pm-3m ,4.5092812557602,300,182.54,5,5,55.2994,29.3769,74.8724465881,0.2743421972,6.8928300968,-1.56279,-0.70315,3.3058612479,5.3456611812,2.9809910467,3.3191007906,219.1407022757,1.0467240602,0.9306550981,0.970887752,1.12E-06,6.8759353677,2.46,RbCaF3,Pm-3m,2.46,1.15,,,,,3.2,
4045164_ZnRbF,,4.87335250049175,300,300.636,5,3,20.1411,3.92834,11.065604528,0.4084326367,0.6577935107,0.24386,-0.09859,4.3088260933,2.4269274852,0.9548277922,1.0821312866,78.3811522032,-0.4229810545,1.2857033675,1.0778032088,1.44E-06,0.4924922347,2.64,60 RbZnF3,Pm-3m,2.64,0.91,,,,,,
2705709_SbCaK,,7.82124386342347,300,803.704,12,3,23.9707,10.8993,28.3943352557,0.3025760946,3.2169040817,-0.26551,-0.04525,2.7865709658,3.7171731781,1.977717468,2.2097887982,133.5277517952,1.8577999919,0.8264893158,1.267226629,2.13E-06,3.468641167,2.7,19 SbCaK,F-43m,2.7,,,2.47,,2.55,,
